"EvergreenName","Application","CommunityPackageId","CommunityVersion","EvergreenVersion","Published","VersionMismatch","StaleDays","LastChecked","AmbiguousMatch"
"MicrosoftVisualStudio","Microsoft Visual Studio","studio","2.26.5.1","17.14.37614.0","2026-06-06","True","76","2026-08-21","True"
"MicrosoftVisualStudioCode","Microsoft Visual Studio Code","studio","2.26.5.1","1.135.0","2026-06-06","True","76","2026-08-21","True"
"MicrosoftWdot","Microsoft Windows Desktop Optimization Tool","","","1.1","","False","","2026-08-21","False"
"MicrosoftWindowsAdminCenter","Microsoft Windows Admin Center","","","2606.0","","False","","2026-08-21","False"
"MicrosoftWindowsAdvancedSettings","Microsoft Windows Advanced Settings","","","1.0.0","","False","","2026-08-21","False"
"MicrosoftWindowsApp","Microsoft Windows App","","","2.0.1315.0","","False","","2026-08-21","False"
"MicrosoftWindowsPackageManagerClient","Microsoft Windows Package Manager Client","","","1.29.280","","False","","2026-08-21","False"
"MicrosoftWSL","Microsoft WSL","wsl","1.0.1","2.7.12","2018-09-14","True","2898","2026-08-21","False"
"MicrosoftWvdBootloader","Microsoft Azure Virtual Desktop Agent Bootloader","","","1.0.11388.1600","","False","","2026-08-21","False"
"MicrosoftWvdInfraAgent","Microsoft Azure Virtual Desktop Agent","","","1.0.15008.300","","False","","2026-08-21","False"
"MicrosoftWvdMultimediaRedirection","Microsoft Azure Virtual Desktop Multimedia Redirection Extensions","","","1.0.2604.16004","","False","","2026-08-21","False"
"MicrosoftWvdRemoteDesktop","Microsoft Remote Desktop","","","1.2.7379.0","","False","","2026-08-21","False"
"MicrosoftWvdRtcService","Microsoft Remote Desktop WebRTC Redirector Service","","","1.54.2408.19001","","False","","2026-08-21","False"
"MicrosoftXMLNotepad","Microsoft XML Notepad","","","2.9.0.22","","False","","2026-08-21","False"
"Minitab","Minitab","","","22.5.1.0","","False","","2026-08-21","False"
"MiniZincIDE","MiniZinc IDE","","","2.10.0","","False","","2026-08-21","False"
"MirantisLens","MirantisLens","","","2025.1.151935-alpha","","False","","2026-08-21","False"
"MobsyaAssociationThymioSuite","Mobsya Association Thymio Suite","","","2.4.0","","False","","2026-08-21","False"
"MountainLoopLabsYaak","Mountain Loop Labs Yaak","yaak","2026.3.1","2026.6.0","2026-06-12","True","70","2026-08-21","False"
"MozillaFirefox","Mozilla Firefox","Firefox","154.0.0","154.0","2026-08-18","True","3","2026-08-21","False"
"MozillaGeckoDriver","Mozilla Gecko Driver","","","0.37.1","","False","","2026-08-21","False"
"MozillaPolicyTemplates","Mozilla Policy Templates","","","8.1","","False","","2026-08-21","False"
"MozillaThunderbird","Mozilla Thunderbird","thunderbird","152.0.1","154.0","2026-07-01","True","51","2026-08-21","False"
"mRemoteNG","mRemoteNG","mRemoteNG","1.76.20.24615","1.76.20","2019-04-12","True","2688","2026-08-21","False"
"MSIXHero","MSIX Hero","","","3.1.0.0","","False","","2026-08-21","False"
"MuseScoreStudio","MuseScore Limited MuseScore Studio","musescore","4.7.4.260706075","4.7.4","2026-07-07","True","45","2026-08-21","False"
"MusicBrainzPicard","MusicBrainz MusicBrainz Picard","picard","2.13.3","2.13.3","2025-02-17","False","550","2026-08-21","False"
"mySQLConnectorNET","mySQL Connector NET","mysql","9.7.2","9.7.0","2026-07-29","True","23","2026-08-21","True"
"mySQLConnectorODBC","mySQL Connector ODCB","mysql","9.7.2","26.7.1","2026-07-29","True","23","2026-08-21","True"
"mySQLWorkbench","mySQL Workbench","mysql","9.7.2","8.0.47","2026-07-29","True","23","2026-08-21","True"
"NagiosCrossPlatformAgent","Nagios Cross-Platform Agent","","","3.4.3","","False","","2026-08-21","False"
"NanaZip","NanaZip","nanazip","6.5.1800","6.5.1800.0","2026-08-21","True","0","2026-08-21","False"
"Naps2","Ben Olden-Cooligan NAPS2","naps2","8.1.4","8.3.2","2025-04-18","True","490","2026-08-21","False"
"NavimaticsWinFSP","Navimatics WinFSP","winfsp","2.1.25156","2.1","2025-06-05","True","442","2026-08-21","False"
"Neovim","neovim.io Neovim","neovim","0.12.4","0.12.4","2026-07-07","False","45","2026-08-21","False"
"NetPad","NetPad","","","0.12.0","","False","","2026-08-22","False"
"NETworkManager","NETworkManager","NETworkManager","2026.7.7","2026.7.7.0","2026-07-07","True","45","2026-08-21","False"
"NevcairielLAVFilters","Nevcairiel LAV Filters","","","0.83","","False","","2026-08-21","False"
"NextcloudDesktop","Nextcloud Desktop","","","34.0.2","","False","","2026-08-21","False"
"NikseSubtitleEdit","Nikse Subtitle Edit","edit","2.0.0","5.1.0","2026-04-28","True","115","2026-08-21","False"
"NodeJs","Node.js","nodejs","26.7.0","26.7.0","2026-08-05","False","16","2026-08-21","False"
"NodeVersionManager","Node Version Manager","","","1.2.2","","False","","2026-08-21","False"
"Nomacs","nomacs Image Lounge","nomacs","3.22.1","3.22.1","2026-04-22","False","121","2026-08-21","False"
"NomicGPT4All","Nomic GPT4All","gpt4all","3.10.0","3.10.0","2025-02-25","False","542","2026-08-21","False"
"Notable","Notable","notable","1.8.4","1.8.4","2020-01-24","False","2401","2026-08-21","False"
"NotepadPlusPlus","Notepad++","notepadplusplus","8.9.7","8.9.7","2026-07-14","False","38","2026-08-21","False"
"Npcap","Npcap","","","1.88","","False","","2026-08-21","False"
"NSClient","NSClient++","","","0.16.3","","False","","2026-08-21","False"
"Obsidian","Obsidian","obsidian","1.13.7","1.13.7","2026-08-13","False","8","2026-08-21","False"
"OBSStudio","OBS Studio","studio","2.26.5.1","32.2.2","2026-06-06","True","76","2026-08-21","True"
"OBSStudioAlt","OBS Studio (alternate method)","studio","2.26.5.1","32.2.2","2026-06-06","True","76","2026-08-21","True"
"OCSInventoryWindowsAgent","OCS Inventory Windows Agent","","","2.11.0.1","","False","","2026-08-21","False"
"OctopusDeployServer","Octopus Deploy Server","","","2026.2.13346","","False","","2026-08-21","False"
"OctopusTentacle","Octopus Tentacle","","","9.2.4285","","False","","2026-08-21","False"
"OlegShparberZeal","Oleg Shparber Zeal","zeal","0.9.1","0.9.1","2026-07-29","False","23","2026-08-21","False"
"Ollama","Ollama","Ollama","0.32.15","0.32.15","2026-08-21","False","0","2026-08-21","False"
"OmnissaHorizonClient","Omnissa Horizon Client","horizon","0.8.0","2603","2021-09-05","True","1811","2026-08-21","False"
"OnlyOfficeDesktopEditors","ONLYOFFICE Desktop Editors","onlyoffice","9.4.0","9.4.0","2026-05-19","False","94","2026-08-21","False"
"OpenChemistryAvogadro","Open Chemistry Avogadro","avogadro","1.2.0.20190217","2.0.0","2019-02-18","True","2741","2026-08-21","False"
"OpenClawWindowsCompanion","OpenClaw Windows Companion","","","2026.7.1","","False","","2026-08-21","False"
"OpenEducationFoundationOpenBoard","Open Education Foundation OpenBoard","openboard","1.7.7","1.7.7","2026-04-22","False","121","2026-08-21","False"
"OpenLens","OpenLens","openlens","6.5.2.3700","6.5.2","2026-01-26","True","207","2026-08-21","False"
"OpenRefine","OpenRefine OpenRefine","openrefine","3.10.1","3.10.1","2026-03-09","False","165","2026-08-21","False"
